Country/Region,Downloads
United States,162
India,72
Germany,30
United Kingdom,25
Canada,13
France,11
Italy,10
Russian Federation,10
Netherlands,9
Australia,8
Pakistan,8
Turkey,8
Brazil,7
Nigeria,7
Romania,7
Bangladesh,6
Chile,6
Spain,6
Singapore,6
Colombia,5
Poland,5
Bulgaria,4
Greece,4
"Korea, Republic Of",4
Luxembourg,4
Mexico,4
New Zealand,4
Thailand,4
South Africa,4
Argentina,3
Belgium,3
Algeria,3
Finland,3
Indonesia,3
Ireland,3
"Iran, Islamic Republic Of",3
Serbia,3
Taiwan,3
"Bolivia, Plurinational State Of",2
Egypt,2
Hong Kong,2
Iraq,2
Japan,2
Malta,2
Philippines,2
Saudi Arabia,2
Ukraine,2
Viet Nam,2
Austria,1
Switzerland,1
China,1
Estonia,1
Ethiopia,1
Israel,1
Jordan,1
Latvia,1
Mongolia,1
Mauritius,1
Peru,1
Slovakia,1
El Salvador,1
Tunisia,1
"Venezuela, Bolivarian Republic Of",1
